,type,ms,x,y,color,rot,wEndms,x2,y2
85,1,37309,2,1,0,0,-2,-1,-1
86,1,37142,2,2,1,0,-2,-1,-1
87,0,37142,1,2,1,0,-2,-1,-1
88,1,42809,2,2,1,0,-2,-1,-1
89,0,36809,0,1,0,-180,-2,-1,-1
90,1,47809,1,2,0,90,-2,-1,-1
91,0,36809,0,2,1,-180,-2,-1,-1
92,0,23809,0,0,0,-180,-2,-1,-1
93,0,45976,0,0,0,135,-2,-1,-1
94,0,42476,1,2,1,0,-2,-1,-1
95,0,23309,2,1,0,0,-2,-1,-1
96,1,42476,2,2,1,0,-2,-1,-1
97,0,45809,0,2,1,-180,-2,-1,-1
98,0,47142,2,2,1,0,-2,-1,-1
99,0,45476,2,1,0,0,-2,-1,-1
100,0,47476,0,1,0,-180,-2,-1,-1
101,0,40142,2,0,3,0,1272,0,0
102,0,42142,2,2,1,0,-2,-1,-1
103,0,38809,2,3,3,0,1328,0,3
104,0,41809,2,3,3,0,1146,0,3
105,0,41809,2,2,1,0,-2,-1,-1
106,0,22809,2,2,1,0,-2,-1,-1
107,0,38476,0,3,1,-135,-2,-1,-1
108,0,45309,2,2,1,0,-2,-1,-1
109,0,44642,2,1,0,0,-2,-1,-1
110,0,26809,1,2,1,0,-2,-1,-1
111,0,26476,0,1,0,-180,-2,-1,-1
112,0,26476,0,2,1,-180,-2,-1,-1
113,0,25976,2,1,0,0,-2,-1,-1
114,0,23309,2,2,3,0,999,0,2
115,0,23642,2,1,3,0,999,0,1
116,0,24142,2,0,3,0,713,0,0
117,0,24642,2,1,3,0,713,0,1
118,0,24976,2,2,3,0,713,0,2
119,0,24142,2,1,0,0,-2,-1,-1
120,0,25476,2,2,1,0,-2,-1,-1
121,0,24642,2,2,1,0,-2,-1,-1
122,0,25142,0,3,1,-180,-2,-1,-1
123,0,28142,2,3,3,0,934,0,3
124,0,28642,2,1,0,0,-2,-1,-1
125,0,29142,1,0,0,-180,-2,-1,-1
126,0,29142,1,1,1,-180,-2,-1,-1
127,0,30809,2,1,1,0,-2,-1,-1
128,0,29476,2,0,3,0,617,0,0
129,0,29976,2,1,3,0,617,0,1
130,0,30476,0,3,1,-180,-2,-1,-1
131,0,30476,0,2,0,-180,-2,-1,-1
132,0,32476,1,1,0,-90,-2,-1,-1
133,1,32476,1,2,0,-90,-2,-1,-1
134,0,32642,0,2,1,90,-2,-1,-1
135,1,32642,0,1,1,90,-2,-1,-1
136,0,33142,2,1,2,0,-2,-1,-1
137,0,33142,2,0,2,0,-2,-1,-1
138,0,33142,1,3,2,0,-2,-1,-1
139,0,33142,1,2,2,0,-2,-1,-1
140,0,33142,1,1,2,0,-2,-1,-1
141,0,33142,1,0,2,0,-2,-1,-1
142,0,33476,1,2,1,0,-2,-1,-1
143,0,34476,2,2,1,0,-2,-1,-1
144,0,33476,1,1,0,0,-2,-1,-1
145,0,35809,1,2,1,90,-2,-1,-1
146,0,35809,1,1,0,-90,-2,-1,-1
147,0,36142,2,2,1,0,-2,-1,-1
148,0,36476,2,1,0,0,-2,-1,-1
149,1,42809,2,1,0,0,-2,-1,-1
150,0,42476,1,1,0,0,-2,-1,-1
151,0,42809,0,1,0,0,-2,-1,-1
152,0,42809,0,2,1,0,-2,-1,-1
153,1,42809,1,2,1,0,-2,-1,-1
154,1,42809,1,1,0,0,-2,-1,-1
155,1,44976,0,2,1,-180,-2,-1,-1
156,0,44976,0,1,0,-180,-2,-1,-1
157,0,47476,0,2,1,-180,-2,-1,-1
158,0,47142,2,1,0,0,-2,-1,-1
159,0,54809,1,1,0,-180,-2,-1,-1
160,0,46809,1,1,0,-180,-2,-1,-1
161,0,54476,1,2,1,-180,-2,-1,-1
162,0,46642,1,2,1,-180,-2,-1,-1
163,0,52642,1,2,0,90,-2,-1,-1
164,0,52476,1,1,0,-90,-2,-1,-1
165,0,51309,1,2,1,-180,-2,-1,-1
166,0,47809,0,2,1,90,-2,-1,-1
167,0,50309,0,3,1,-135,-2,-1,-1
168,1,47809,0,1,1,-90,-2,-1,-1
169,0,51142,1,1,0,-180,-2,-1,-1
170,0,50809,2,1,0,0,-2,-1,-1
171,1,57976,2,1,0,0,-2,-1,-1
172,0,50642,2,2,1,0,-2,-1,-1
173,0,49976,2,1,0,0,-2,-1,-1
174,0,52142,1,1,1,-90,-2,-1,-1
175,0,62142,0,2,1,90,-2,-1,-1
176,1,57809,2,2,1,0,-2,-1,-1
177,0,61476,0,3,1,-135,-2,-1,-1
178,0,51976,1,2,1,90,-2,-1,-1
179,0,54142,1,1,0,0,-2,-1,-1
180,0,51642,2,0,0,0,-2,-1,-1
181,0,53309,0,2,1,-180,-2,-1,-1
182,0,53309,0,1,0,-180,-2,-1,-1
183,0,53142,1,1,0,0,-2,-1,-1
184,0,53142,1,2,1,0,-2,-1,-1
185,0,53809,1,2,1,0,-2,-1,-1
186,0,55976,1,1,0,-180,-2,-1,-1
187,0,55809,1,2,1,-180,-2,-1,-1
188,0,61142,2,2,1,0,-2,-1,-1
189,1,220143,2,3,1,0,-2,-1,-1
190,0,135476,1,1,0,0,-2,-1,-1
191,0,56642,1,0,0,0,-2,-1,-1
192,0,57809,1,2,1,0,-2,-1,-1
193,0,57476,0,1,0,-180,-2,-1,-1
194,0,57476,0,2,1,-180,-2,-1,-1
195,0,60476,2,0,2,-180,-2,-1,-1
196,0,57976,1,1,0,0,-2,-1,-1
197,0,61309,2,1,0,0,-2,-1,-1
198,0,59142,2,2,2,-180,-2,-1,-1
199,0,59809,0,2,1,-180,-2,-1,-1
200,0,60476,2,2,2,-180,-2,-1,-1
201,0,112643,0,3,1,-180,-2,-1,-1
202,0,60476,2,3,2,-180,-2,-1,-1
203,0,59476,2,2,1,0,-2,-1,-1
204,0,60476,2,1,2,-180,-2,-1,-1
205,0,59642,0,1,0,-180,-2,-1,-1
206,0,68476,2,1,0,0,-2,-1,-1
207,1,119976,1,1,0,0,-2,-1,-1
208,0,70476,0,2,1,-180,-2,-1,-1
209,0,50642,2,3,3,0,943,0,3
210,0,68809,1,1,0,-180,-2,-1,-1
211,0,71142,2,2,1,0,-2,-1,-1
212,0,64976,2,2,1,0,-2,-1,-1
213,0,64976,2,1,0,0,-2,-1,-1
214,1,69142,0,1,1,90,-2,-1,-1
215,0,68809,1,2,1,-180,-2,-1,-1
216,0,69142,0,2,1,90,-2,-1,-1
217,0,65809,2,0,0,0,-2,-1,-1
218,0,67642,2,1,0,0,-2,-1,-1
219,0,65476,0,2,1,-180,-2,-1,-1
220,0,65309,0,0,0,135,-2,-1,-1
221,0,67642,2,3,1,0,-2,-1,-1
222,1,68142,1,1,0,0,-2,-1,-1
223,1,67976,1,2,1,0,-2,-1,-1
224,0,67309,0,1,0,-180,-2,-1,-1
225,0,67142,0,3,1,-135,-2,-1,-1
226,0,66809,2,1,0,0,-2,-1,-1
227,0,43476,0,1,0,-180,-2,-1,-1
228,0,66642,2,2,1,0,-2,-1,-1
229,0,68476,2,2,1,0,-2,-1,-1
230,0,71642,0,3,1,-135,-2,-1,-1
231,0,80476,0,0,0,135,-2,-1,-1
232,0,69809,1,2,1,0,-2,-1,-1
233,0,71309,1,1,0,-180,-2,-1,-1
234,0,72142,2,2,1,0,-2,-1,-1
235,0,70809,2,1,0,0,-2,-1,-1
236,0,71976,2,1,0,0,-2,-1,-1
237,0,74476,2,2,1,0,-2,-1,-1
238,0,72642,0,1,0,-180,-2,-1,-1
239,0,70809,2,2,2,0,-2,-1,-1
240,0,77142,1,1,0,-90,-2,-1,-1
241,0,76642,2,3,2,-90,-2,-1,-1
242,0,74476,2,1,0,0,-2,-1,-1
243,0,82476,2,3,2,0,-2,-1,-1
244,0,82642,2,3,2,0,-2,-1,-1
245,0,73476,1,1,1,-90,-2,-1,-1
246,0,73309,1,2,1,90,-2,-1,-1
247,0,74142,1,2,0,90,-2,-1,-1
248,0,73809,1,1,0,-90,-2,-1,-1
249,0,76642,2,2,2,-90,-2,-1,-1
250,0,76642,2,1,2,-90,-2,-1,-1
251,0,76642,2,0,2,-90,-2,-1,-1
252,0,76476,2,0,2,-90,-2,-1,-1
253,0,76476,2,1,2,-90,-2,-1,-1
254,0,76476,2,2,2,-90,-2,-1,-1
255,0,76476,2,3,2,-90,-2,-1,-1
256,0,76642,1,1,1,-90,-2,-1,-1
257,0,79809,2,1,1,0,-2,-1,-1
258,0,79309,0,1,0,-180,-2,-1,-1
259,0,44476,2,3,1,0,-2,-1,-1
260,0,82476,2,0,2,0,-2,-1,-1
261,0,82476,2,1,2,0,-2,-1,-1
262,0,82476,2,2,2,0,-2,-1,-1
263,0,79142,0,2,1,-180,-2,-1,-1
264,0,78809,2,2,1,0,-2,-1,-1
265,0,78809,2,1,0,0,-2,-1,-1
266,0,78476,0,1,0,-180,-2,-1,-1
267,0,45309,2,3,3,0,620,0,3
268,0,83809,2,1,0,0,-2,-1,-1
269,0,83476,0,2,1,-180,-2,-1,-1
270,0,83476,0,1,0,-180,-2,-1,-1
271,1,82809,1,1,1,0,-2,-1,-1
272,0,81142,1,2,1,-180,-2,-1,-1
273,1,82642,1,2,1,0,-2,-1,-1
274,0,80976,1,1,0,0,-2,-1,-1
275,0,80809,1,2,1,0,-2,-1,-1
276,1,82476,1,3,1,0,-2,-1,-1
277,0,70142,1,1,0,0,-2,-1,-1
278,0,43976,0,3,1,-135,-2,-1,-1
279,0,44142,0,1,0,-180,-2,-1,-1
280,0,46309,2,2,1,0,-2,-1,-1
281,0,46309,2,0,0,0,-2,-1,-1
282,0,49809,2,2,1,0,-2,-1,-1
283,0,49476,1,2,0,-135,-2,-1,-1
284,0,49142,2,0,0,45,-2,-1,-1
285,0,48809,1,1,1,135,-2,-1,-1
286,0,47809,1,1,0,-90,-2,-1,-1
287,0,48476,2,3,1,-45,-2,-1,-1
288,0,56476,1,1,1,0,-2,-1,-1
289,0,57142,1,1,0,0,-2,-1,-1
290,0,55142,1,3,1,0,-2,-1,-1
291,0,57142,1,2,1,0,-2,-1,-1
292,0,55309,1,2,0,0,-2,-1,-1
293,0,59142,2,1,0,0,-2,-1,-1
294,0,58476,0,2,1,-180,-2,-1,-1
295,0,58642,0,1,0,-180,-2,-1,-1
296,0,62476,0,1,1,-90,-2,-1,-1
297,0,62809,0,2,1,90,-2,-1,-1
298,1,62809,0,1,1,90,-2,-1,-1
299,0,62809,1,1,0,-90,-2,-1,-1
300,0,64642,1,1,0,-180,-2,-1,-1
301,1,62809,1,2,0,-90,-2,-1,-1
302,0,64809,1,2,1,-180,-2,-1,-1
303,0,65976,2,2,1,0,-2,-1,-1
304,0,66309,0,2,1,-180,-2,-1,-1
305,1,66309,0,1,0,-180,-2,-1,-1
306,0,69142,1,1,0,-90,-2,-1,-1
307,1,69142,1,2,0,-90,-2,-1,-1
308,0,70476,0,1,0,-180,-2,-1,-1
309,0,72476,1,2,1,-180,-2,-1,-1
310,0,72976,2,2,0,0,-2,-1,-1
311,0,74642,1,2,1,-180,-2,-1,-1
312,0,74642,1,1,0,-180,-2,-1,-1
313,0,75142,2,2,1,0,-2,-1,-1
314,0,75476,2,1,0,0,-2,-1,-1
315,0,75809,1,2,1,-180,-2,-1,-1
316,0,76476,1,2,1,90,-2,-1,-1
317,0,76142,1,1,0,-180,-2,-1,-1
318,0,77309,1,2,0,90,-2,-1,-1
319,0,77142,2,3,2,90,-2,-1,-1
320,0,77142,2,2,2,90,-2,-1,-1
321,0,77142,2,1,2,90,-2,-1,-1
322,0,77142,2,0,2,90,-2,-1,-1
323,0,77309,2,1,2,90,-2,-1,-1
324,0,77309,2,2,2,90,-2,-1,-1
325,0,78476,0,2,1,-180,-2,-1,-1
326,0,77309,2,3,2,90,-2,-1,-1
327,0,77309,2,0,2,90,-2,-1,-1
328,0,77809,2,2,1,0,-2,-1,-1
329,0,77976,2,1,0,0,-2,-1,-1
330,0,79976,2,2,0,0,-2,-1,-1
331,0,83809,2,2,1,0,-2,-1,-1
332,0,85142,1,2,1,0,-2,-1,-1
333,0,85476,1,1,0,0,-2,-1,-1
334,0,85976,0,2,1,-180,-2,-1,-1
335,0,85976,0,1,0,-180,-2,-1,-1
336,0,86476,2,2,1,0,-2,-1,-1
337,0,86476,2,1,0,0,-2,-1,-1
338,0,82642,2,2,2,0,-2,-1,-1
339,0,82642,2,1,2,0,-2,-1,-1
340,0,82642,2,0,2,0,-2,-1,-1
341,0,82809,2,3,2,0,-2,-1,-1
342,0,82809,2,2,2,0,-2,-1,-1
343,0,82809,2,1,2,0,-2,-1,-1
344,0,82809,2,0,2,0,-2,-1,-1
345,0,82476,0,3,2,0,-2,-1,-1
346,0,82476,0,2,2,0,-2,-1,-1
347,0,82476,0,1,2,0,-2,-1,-1
348,0,82476,0,0,2,0,-2,-1,-1
349,0,82642,0,3,2,0,-2,-1,-1
350,0,82642,0,2,2,0,-2,-1,-1
351,0,82642,0,1,2,0,-2,-1,-1
352,0,82642,0,0,2,0,-2,-1,-1
353,0,82809,0,3,2,0,-2,-1,-1
354,0,82809,0,2,2,0,-2,-1,-1
355,0,82809,0,1,2,0,-2,-1,-1
356,0,82809,0,0,2,0,-2,-1,-1
357,0,88809,0,3,1,-135,-2,-1,-1
358,0,116142,2,0,0,0,-2,-1,-1
359,0,103476,1,2,0,-90,-2,-1,-1
360,0,102809,1,1,1,90,-2,-1,-1
361,0,116142,2,1,1,0,-2,-1,-1
362,0,122809,1,1,0,0,-2,-1,-1
363,0,96476,0,2,1,-180,-2,-1,-1
364,1,219476,2,3,1,0,-2,-1,-1
365,1,174142,2,3,1,0,-2,-1,-1
366,1,174809,2,3,1,0,-2,-1,-1
367,1,195476,2,3,1,0,-2,-1,-1
368,1,194809,2,3,1,0,-2,-1,-1
369,0,122142,1,2,1,0,-2,-1,-1
370,0,96142,2,2,1,0,-2,-1,-1
371,0,99476,1,1,0,0,-2,-1,-1
372,0,98809,1,2,1,0,-2,-1,-1
373,0,98142,1,1,0,0,-2,-1,-1
374,1,119809,1,0,0,0,-2,-1,-1
375,0,97476,1,2,1,0,-2,-1,-1
376,0,119476,0,1,1,-180,-2,-1,-1
377,0,102142,1,1,0,-180,-2,-1,-1
378,0,101476,1,2,1,-180,-2,-1,-1
379,0,100809,2,1,0,0,-2,-1,-1
380,0,100142,2,2,1,0,-2,-1,-1
381,1,125476,0,2,1,0,-2,-1,-1
382,0,119142,2,1,1,0,-2,-1,-1
383,0,108142,1,1,0,0,-2,-1,-1
384,0,107476,1,2,1,-180,-2,-1,-1
385,0,106809,1,2,1,0,-2,-1,-1
386,0,106142,1,3,1,-180,-2,-1,-1
387,1,110809,2,1,3,0,162,0,0
388,0,105476,1,3,1,0,-2,-1,-1
389,1,104809,0,2,1,-90,-2,-1,-1
390,1,116142,2,3,3,0,765,0,2
391,1,104142,0,1,0,-90,-2,-1,-1
392,1,120142,1,2,0,0,-2,-1,-1
393,0,145809,2,3,1,0,-2,-1,-1
394,0,89476,2,2,1,0,-2,-1,-1
395,0,118476,0,1,1,-180,-2,-1,-1
396,1,83476,2,3,3,0,1524,0,3
397,1,83476,2,0,3,0,715,0,0
398,0,90142,2,1,0,0,-2,-1,-1
399,0,90809,1,2,1,-180,-2,-1,-1
400,0,90976,1,1,0,-180,-2,-1,-1
401,0,91142,2,2,1,0,-2,-1,-1
402,0,91309,2,1,0,0,-2,-1,-1
403,0,92142,2,2,1,0,-2,-1,-1
404,0,92809,2,1,0,0,-2,-1,-1
405,1,93476,0,1,1,-180,-2,-1,-1
406,1,94142,0,2,0,-180,-2,-1,-1
407,0,94809,2,2,1,0,-2,-1,-1
408,0,95476,2,1,0,0,-2,-1,-1
409,0,108809,1,1,0,-180,-2,-1,-1
410,0,109476,1,0,0,0,-2,-1,-1
411,0,110142,1,0,0,-180,-2,-1,-1
412,0,113976,0,3,1,-180,-2,-1,-1
413,0,113476,2,2,0,0,-2,-1,-1
414,0,113476,2,3,1,0,-2,-1,-1
415,1,115476,1,1,1,90,-2,-1,-1
416,0,115476,1,2,1,90,-2,-1,-1
417,0,118809,2,0,0,0,-2,-1,-1
418,0,124809,1,2,0,-90,-2,-1,-1
419,0,124142,1,1,1,90,-2,-1,-1
420,0,123476,1,2,1,0,-2,-1,-1
421,1,120643,1,1,1,0,-2,-1,-1
422,0,145476,1,2,0,-180,-2,-1,-1
423,0,145476,1,3,1,-180,-2,-1,-1
424,0,112142,2,2,0,0,-2,-1,-1
425,0,96643,1,1,0,-180,-2,-1,-1
426,0,112142,2,3,1,0,-2,-1,-1
427,0,111809,0,2,0,-180,-2,-1,-1
428,0,96309,1,1,0,0,-2,-1,-1
429,1,120476,1,2,1,0,-2,-1,-1
430,0,121476,1,1,0,0,-2,-1,-1
431,0,111809,0,3,1,-180,-2,-1,-1
432,0,135142,0,1,0,-180,-2,-1,-1
433,0,135142,0,2,1,-180,-2,-1,-1
434,0,111309,1,2,0,0,-2,-1,-1
435,0,110809,1,3,1,0,-2,-1,-1
436,0,134809,2,1,0,0,-2,-1,-1
437,0,132976,1,2,1,90,-2,-1,-1
438,0,134643,2,2,1,0,-2,-1,-1
439,1,129476,2,3,1,0,-2,-1,-1
440,1,129476,2,2,0,0,-2,-1,-1
441,0,129476,1,2,0,0,-2,-1,-1
442,0,129476,1,3,1,0,-2,-1,-1
443,1,126809,2,1,1,0,-2,-1,-1
444,1,126809,2,0,0,0,-2,-1,-1
445,0,139309,1,1,0,0,-2,-1,-1
446,0,113142,0,2,0,-180,-2,-1,-1
447,0,117976,0,0,0,-180,-2,-1,-1
448,0,117476,2,1,1,0,-2,-1,-1
449,0,114476,0,2,0,-180,-2,-1,-1
450,0,114809,2,3,1,0,-2,-1,-1
451,0,114809,2,2,0,0,-2,-1,-1
452,0,117476,2,0,0,0,-2,-1,-1
453,0,117142,0,0,0,-180,-2,-1,-1
454,0,116643,0,1,1,-180,-2,-1,-1
455,1,126142,0,1,0,0,-2,-1,-1
456,0,132643,1,2,0,90,-2,-1,-1
457,0,126809,1,0,0,0,-2,-1,-1
458,0,126809,1,1,1,0,-2,-1,-1
459,1,126809,2,3,3,0,1747,0,2
460,1,129476,2,0,3,0,1175,0,1
461,0,134309,1,1,0,-90,-2,-1,-1
462,1,134309,1,2,0,0,-2,-1,-1
463,1,137142,1,2,1,0,-2,-1,-1
464,1,133976,1,2,1,0,-2,-1,-1
465,0,139142,1,2,1,0,-2,-1,-1
466,0,138809,1,2,0,-180,-2,-1,-1
467,1,133809,1,2,1,0,-2,-1,-1
468,1,136809,1,2,0,0,-2,-1,-1
469,1,140643,1,2,0,0,-2,-1,-1
470,1,140476,1,1,0,0,-2,-1,-1
471,1,140142,1,1,1,0,-2,-1,-1
472,1,139976,1,2,1,0,-2,-1,-1
473,1,139643,0,1,0,0,-2,-1,-1
474,1,139643,0,2,1,0,-2,-1,-1
475,0,138309,2,3,1,0,-2,-1,-1
476,1,137976,0,3,1,0,-2,-1,-1
477,0,138643,1,3,1,-180,-2,-1,-1
478,0,145142,2,2,0,0,-2,-1,-1
479,0,132476,1,1,0,-90,-2,-1,-1
480,1,143976,1,2,0,0,-2,-1,-1
481,0,142476,1,1,1,-90,-2,-1,-1
482,0,145142,2,3,1,0,-2,-1,-1
483,0,143142,2,0,3,-180,1116,0,1
484,0,142142,1,2,1,90,-2,-1,-1
485,0,141809,1,1,0,-90,-2,-1,-1
486,0,143809,1,2,0,0,-2,-1,-1
487,1,141309,1,1,0,0,-2,-1,-1
488,0,144643,1,2,0,-180,-2,-1,-1
489,0,143142,1,3,1,0,-2,-1,-1
490,1,143309,1,3,1,-90,-2,-1,-1
491,0,144476,1,3,1,-180,-2,-1,-1
492,1,142809,1,2,0,-90,-2,-1,-1
493,0,142809,1,1,0,-90,-2,-1,-1
494,1,149476,1,0,0,0,-2,-1,-1
495,1,149309,1,1,0,0,-2,-1,-1
496,0,146643,0,2,0,-180,-2,-1,-1
497,0,146476,0,3,1,-180,-2,-1,-1
498,1,149142,1,0,0,0,-2,-1,-1
499,1,147476,2,3,3,0,351,0,2
500,1,152809,2,0,3,0,145,0,0
501,1,150809,2,3,3,0,1107,2,3
502,1,150476,1,1,1,0,-2,-1,-1
503,1,153476,2,3,0,0,-2,-1,-1
504,1,153142,2,3,0,0,-2,-1,-1
505,0,132142,1,1,1,-90,-2,-1,-1
506,0,131976,1,2,1,90,-2,-1,-1
507,1,133476,1,1,0,0,-2,-1,-1
508,1,150142,1,2,1,0,-2,-1,-1
509,1,152142,2,3,3,0,1097,1,3
510,1,151476,2,0,3,0,430,2,0
511,0,131309,2,2,1,0,-2,-1,-1
512,0,131475,2,1,0,0,-2,-1,-1
513,1,133309,1,1,0,0,-2,-1,-1
514,0,131643,0,3,1,-135,-2,-1,-1
515,1,136476,1,3,1,0,-2,-1,-1
516,0,135809,0,2,1,-180,-2,-1,-1
517,1,137809,0,3,1,0,-2,-1,-1
518,0,137476,1,1,0,0,-2,-1,-1
519,1,132976,1,1,1,0,-2,-1,-1
520,0,135476,1,2,1,0,-2,-1,-1
521,1,141142,1,2,1,0,-2,-1,-1
522,1,141309,1,2,1,0,-2,-1,-1
523,1,141142,1,1,0,0,-2,-1,-1
524,0,145976,2,2,0,0,-2,-1,-1
525,0,156142,1,1,0,0,-2,-1,-1
526,0,155476,1,2,1,0,-2,-1,-1
527,0,156809,1,3,1,0,-2,-1,-1
528,0,181476,1,0,0,0,-2,-1,-1
529,0,181476,1,1,1,0,-2,-1,-1
530,0,153142,2,2,0,0,-2,-1,-1
531,0,153476,1,2,0,-180,-2,-1,-1
532,0,154809,1,2,0,0,-2,-1,-1
533,0,164809,1,0,0,0,-2,-1,-1
534,0,161476,0,2,2,0,-2,-1,-1
535,0,161476,1,2,2,0,-2,-1,-1
536,0,164476,1,1,1,0,-2,-1,-1
537,0,162642,1,1,0,0,-2,-1,-1
538,0,162642,1,2,1,0,-2,-1,-1
539,1,163476,1,1,1,90,-2,-1,-1
540,0,154142,1,3,1,0,-2,-1,-1
541,0,163476,1,2,1,90,-2,-1,-1
542,0,162142,1,2,1,180,-2,-1,-1
543,1,166809,2,1,3,0,936,0,0
544,0,161476,1,1,0,180,-2,-1,-1
545,0,174142,2,3,2,0,-2,-1,-1
546,0,165142,0,0,0,-180,-2,-1,-1
547,0,164142,2,3,3,0,1274,0,2
548,0,157476,1,2,0,-90,-2,-1,-1
549,0,158142,1,2,1,90,-2,-1,-1
550,0,162142,2,1,2,0,-2,-1,-1
551,0,158809,1,0,0,0,-2,-1,-1
552,0,159476,1,1,1,0,-2,-1,-1
553,0,160142,1,1,0,0,-2,-1,-1
554,0,160809,1,2,1,0,-2,-1,-1
555,1,158142,1,1,1,-90,-2,-1,-1
556,0,162142,1,1,2,0,-2,-1,-1
557,0,165142,0,1,1,-180,-2,-1,-1
558,0,180143,0,2,0,90,-2,-1,-1
559,0,172142,1,1,0,0,-2,-1,-1
560,0,171476,1,2,1,0,-2,-1,-1
561,0,170809,1,1,0,-180,-2,-1,-1
562,0,170142,1,2,1,-180,-2,-1,-1
563,0,166142,1,1,0,-90,-2,-1,-1
564,1,166142,1,2,0,-90,-2,-1,-1
565,0,167142,1,3,1,0,-2,-1,-1
566,0,167476,1,2,0,0,-2,-1,-1
567,0,167809,0,2,0,-180,-2,-1,-1
568,0,167809,0,3,1,-180,-2,-1,-1
569,0,174809,1,2,1,0,-2,-1,-1
570,0,174809,1,1,0,0,-2,-1,-1
571,1,174809,2,1,0,0,-2,-1,-1
572,1,174809,2,2,1,0,-2,-1,-1
573,0,168476,1,2,1,0,-2,-1,-1
574,0,168809,1,1,0,0,-2,-1,-1
575,0,169142,0,2,1,-180,-2,-1,-1
576,0,169142,0,1,0,-180,-2,-1,-1
